gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,9.0,0.28962025316455703,198.8,0.5723250852272359,404.0,0.957438234035027,166.71220711153697,0.2596076232729286
1,1,8.666666666666666,0.008132177215547771,101.53333333333333,0.2599892085733548,377.3333333333333,0.7469258589511754,139.53742628174467,0.3004916316029824
2,2,8.666666666666666,0.0625857002938296,102.06666666666668,0.37824824072301516,349.0,0.7002938295788442,126.73741883647992,0.256576678051816
3,3,8.666666666666666,0.01812452820036673,64.93333333333334,0.3625030037517939,211.0,0.9150538878353803,77.67493518217802,0.3707148142575347
4,4,9.0,0.0,56.866666666666674,0.2243946512877509,190.33333333333334,1.0,70.3580051514317,0.39063506155136213
5,5,9.0,0.04590730283519483,109.4,0.38892837926461593,316.3333333333333,1.0,114.53604963794876,0.41958418565266414
6,6,9.0,0.0,91.06666666666666,0.3703128133748493,273.3333333333333,0.9858641929776513,107.25056850406176,0.45512780181221113
7,7,9.0,0.04397587846602772,100.6,0.3904380495220959,302.3333333333333,0.9958293997693329,108.79673197706302,0.42370624367872245
8,8,9.0,0.0,143.33333333333331,0.26350706948819697,359.3333333333333,1.0,149.19666365051344,0.3805651466090717
9,9,9.0,0.01253481894150418,154.93333333333334,0.3873145234643922,368.0,0.9972144846796658,172.6974747290121,0.43813041607312986
10,10,9.0,0.0,83.06666666666668,0.3530794322045668,293.6666666666667,1.0,110.19868924407001,0.43826004825995923
11,11,9.0,0.0,47.53333333333333,0.20041811846689894,200.33333333333334,1.0,76.4005817313513,0.3997912140703182
12,12,9.0,0.0,77.93333333333334,0.2001745877788555,352.6666666666667,1.0,137.3672126495661,0.3999128490209185
13,13,9.666666666666666,0.025542893805863047,114.0,0.2585750584557909,425.6666666666667,0.7365384615384615,157.62035965501974,0.29251785115053835
14,14,9.0,0.0,60.93333333333334,0.2533168350272595,235.0,0.7438053097345132,87.95463477144213,0.3177336243849917
15,15,9.0,0.0,51.333333333333336,0.2720887625989054,138.66666666666666,0.8866323907455013,53.59270265416531,0.3570836884173399
16,16,9.0,0.07783155856727979,97.99999999999999,0.36767967960864445,353.3333333333333,0.7,131.96161057923877,0.2491803940445901
17,17,9.666666666666666,0.0,70.86666666666666,0.39973155465692856,177.33333333333334,0.8813121272365805,64.84189317957266,0.3692238786747543
18,18,9.0,0.051468097238972076,35.199999999999996,0.42254809823425915,73.33333333333333,1.0,26.58203236106006,0.4461572331391128
19,19,9.0,0.011232001012610886,55.06666666666666,0.26423983267204,125.0,0.7008620689655172,56.01840967237665,0.2530353427651904
