,cr,l,mr
fitness,0.0,5.0,0.0
novelty,0.20000000000000018,10.0,-0.09999999999999998
add_novelty,-0.09999999999999998,10.0,-0.09999999999999998
sub_novelty,0.0,5.0,0.0
fit_archiving,-0.09999999999999998,0.0,-0.19999999999999996
elite_archiving,0.0,5.0,0.19999999999999996
novelty_archiving,-0.09999999999999998,-5.0,-0.09999999999999998
novelty_limit,-0.09999999999999998,10.0,-0.09999999999999998
