,final,final,final,final,final,final,final,final,final,final,final,final,origin,origin,origin,origin,origin,origin,origin,origin,origin,origin,origin,origin
,archive_batch,archiving_period,cr,cross_method,cross_uni,decay,fitness_weight,l,limit,m,mr,mutation_sigma,archive_batch,archiving_period,cr,cross_method,cross_uni,decay,fitness_weight,l,limit,m,mr,mutation_sigma
fitness,,,1.0,uniform,,,,40,,40,0.02,1.5,,,1.0,uniform,,,,40,,40,0.02,1.5
novelty,,,0.6,uniform,0.2,,,70,,40,0.06,2.5,,,0.7,uniform,0.2,,,70,,40,0.06,2.5
add_novelty,,,1.0,uniform,0.7000000000000001,2.0,0.6000000000000001,85,,70,0.25,0.5,,,1.0,uniform,0.7000000000000001,2.0,0.6000000000000001,70,,70,0.25,0.5
sub_novelty,,,0.6,uniform,0.7000000000000001,1.5,0.9000000000000001,70,,35,0.33,1.5,,,0.5,uniform,0.7000000000000001,1.5,0.9000000000000001,70,,50,0.28,1.5
fit_archiving,4,2,1.0,uniform,0.6,,,80,,85,0.11000000000000001,2.5,4,2,1.0,uniform,0.6,,,50,,70,0.01,2.5
elite_archiving,2,4,0.8000000000000002,uniform,0.8,,,70,,85,0.11000000000000001,2.5,2,4,0.9000000000000001,uniform,0.8,,,70,,70,0.01,2.5
novelty_archiving,3,5,0.9,mean,,,,65,,85,0.1,2.0,3,5,1.0,mean,,,,50,,70,0.1,2.0
novelty_limit,4,5,0.6,uniform,0.5,,,55,-90.0,50,0.02,2.5,4,5,0.5,uniform,0.5,,,70,-90.0,50,0.02,2.5
