,Parameter,cartpole,cartpole,cartpole,lunarlander,lunarlander,lunarlander
,,Min,Max,Step,Min,Max,Step
0,pop,5.0,20.0,5.0,40.0,70.0,10.0
1,mutation_rate,0.0,1.0,0.1,0.0,1.0,0.1
2,cross_rate,0.3,1.0,0.1,0.3,1.0,0.1
3,archiving_period,2.0,5.0,1.0,2.0,5.0,1.0
4,archive_batch,1.0,5.0,1.0,1.0,5.0,1.0
5,limit,200.0,300.0,10.0,-200.0,-50.0,10.0
6,start_fit_w,0.2,1.0,0.1,0.2,1.0,0.1
7,decay,0.5,5.0,0.5,0.5,5.0,0.5
