gen,gen,min,avg,max,std
0,0,19.0,115.85714285714285,277.6666666666667,91.59154621398463
1,1,19.0,129.8095238095238,277.6666666666667,86.88997917323736
2,2,19.0,129.8095238095238,277.6666666666667,86.88997917323736
3,3,89.66666666666667,190.28571428571428,315.0,79.46696000493729
4,4,89.66666666666667,190.28571428571428,315.0,79.46696000493729
5,5,104.33333333333333,192.38095238095238,315.0,76.93956163850115
6,6,104.33333333333333,192.38095238095238,315.0,76.93956163850115
7,7,104.33333333333333,192.38095238095238,315.0,76.93956163850115
8,8,104.33333333333333,194.80952380952382,315.0,75.33098545495415
9,9,104.33333333333333,194.80952380952382,315.0,75.33098545495415
10,10,104.33333333333333,210.47619047619045,387.3333333333333,98.70974882184461
11,11,104.33333333333333,210.47619047619045,387.3333333333333,98.70974882184461
12,12,104.33333333333333,210.47619047619045,387.3333333333333,98.70974882184461
13,13,106.33333333333333,267.0,500.0,130.05407910582235
14,14,106.33333333333333,267.0,500.0,130.05407910582235
15,15,106.33333333333333,267.0,500.0,130.05407910582235
16,16,106.33333333333333,316.7619047619047,500.0,142.4539707654654
17,17,106.33333333333333,316.7619047619047,500.0,142.4539707654654
18,18,106.33333333333333,316.7619047619047,500.0,142.4539707654654
19,19,154.0,323.57142857142856,500.0,133.06207100157815
