gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,8.666666666666666,0.017181715392752532,90.83333333333334,0.28640394681889453,500.0,0.7564104451928646,129.18085943530662,0.2624120238225658
1,1,8.666666666666666,0.21086769891533108,96.03333333333333,0.4962697475318746,422.3333333333333,0.8734248585711188,131.38475727588968,0.17869167530136132
2,2,8.666666666666666,0.04436851634104717,203.33333333333331,0.7196583607699807,500.0,0.9408151870863704,172.28348731088536,0.2140627611731287
3,3,9.333333333333334,0.17850717269738217,190.99999999999997,0.5368453337791317,500.0,0.7657761122326305,156.249657777403,0.20124421148723168
4,4,8.666666666666666,0.16113399605240553,241.15,0.6281233876609996,500.0,0.8473434586915554,135.0026121146468,0.2164667747851839
5,5,8.666666666666666,0.2134465781194669,179.93333333333334,0.5711187149317508,500.0,0.7846998483591785,142.59007289741066,0.18820099879879754
6,6,8.666666666666666,0.3657921761280661,233.61666666666665,0.7084630109375747,500.0,0.8826128828595565,171.4065107994572,0.1803503902310474
7,7,8.666666666666666,0.1981414792580356,210.91666666666669,0.6371585596737777,500.0,0.8726398187916788,124.16511743999958,0.2799132697336092
8,8,8.666666666666666,0.14697926653915783,233.61666666666665,0.486488358961199,500.0,0.8550216888221426,166.68900766930545,0.2370557693233662
9,9,8.666666666666666,0.20955444964576686,271.2166666666667,0.700662449014335,500.0,0.9480608209239979,121.54305478581105,0.2850083535561873
10,10,8.666666666666666,0.5891782313366292,351.40000000000003,0.8824523764729191,500.0,1.0708181071165426,173.14023218189357,0.126911112096467
11,11,8.666666666666666,0.22613462762043385,199.01666666666668,0.5607430899603698,500.0,0.952247030619797,172.58757760755682,0.23119762744036973
12,12,8.666666666666666,0.05369202689090973,235.1333333333333,0.7752249126248816,398.3333333333333,0.9545759704182691,143.2588333518507,0.2421812155572573
13,13,8.666666666666666,0.0,270.5166666666666,0.5939271262314133,398.3333333333333,1.0,124.39571603020204,0.34135277383825624
14,14,96.66666666666667,0.04852253510177809,301.19999999999993,0.6888996297810261,398.3333333333333,1.0,114.59524907739896,0.36588906299756657
15,15,138.66666666666666,0.7058123509996126,269.65,0.8142845611740992,398.3333333333333,0.8972798479785284,90.04020552570452,0.09212384585932598
16,16,9.333333333333334,0.3573933793901153,258.63333333333327,0.7507831591646451,398.3333333333333,1.0,156.82923834540546,0.26747508675031384
17,17,8.666666666666666,0.5678764696576833,168.61666666666667,0.8625403618674344,398.3333333333333,1.213031904528086,121.65686147704307,0.1385201752988082
18,18,8.666666666666666,0.3045423172330174,71.68333333333332,0.685262236082316,398.3333333333333,1.0,107.67933233035535,0.18428323307601907
19,19,8.666666666666666,0.04635537927986614,106.0,0.7639476229348093,398.3333333333333,0.9348925291566759,117.63285633227176,0.24809133785008322
20,20,8.666666666666666,0.08604324335666805,145.88333333333333,0.49972103501997667,497.0,1.0,170.7391537144047,0.32970996016910353
