gen,gen,fit_min,nov_min,fit_avg,nov_avg,fit_max,nov_max,fit_std,nov_std
0,0,-718.1347501111492,0.7397989068906388,-386.7691819360189,1.2405660402103664,-106.00854192573678,5.449623425051239,191.2291088361339,1.145092651086359
1,1,-718.1347501111492,0.8461236030174776,-495.7497264664204,2.1593700023676186,12.82360405343051,5.449623425051239,173.24864598704173,1.3316489549524004
2,2,-718.1347501111492,1.472190955526215,-549.432856511974,3.110720655374731,-154.4150151068716,5.449623425051239,119.21887583542579,1.1751510198926893
3,3,-697.0577042809356,2.4232812520880227,-519.8567551738932,3.691423649654576,-101.76659178521561,5.449623425051239,151.7991692219915,0.9888177711068901
4,4,-697.0577042809356,1.7734400046760863,-566.2241934813502,3.924152769869554,-139.30365434384086,5.449623425051239,91.93997182740117,1.1097170535052219
5,5,-855.353530773913,2.4821397532555984,-586.1153594635083,3.8573564400928615,-209.56779179895398,5.449623425051239,93.21712620209884,0.8759352563447383
6,6,-697.0577042809356,2.306171972977417,-608.8228787938966,3.9866045098050518,-130.14598929998104,5.449623425051239,93.8068072397551,1.078959221841983
7,7,-697.0577042809356,1.9031574139439076,-618.7466407049752,4.437221286223951,-130.14598929998104,5.449623425051239,97.33768260906035,0.9591395951341481
8,8,-697.0577042809356,2.4099775689961445,-610.1108263185074,4.24874344376003,-138.18627705710688,5.449623425051239,108.7554090213546,0.8822686538461145
9,9,-697.0577042809356,2.6903545249405094,-612.1371393845037,4.31151335483415,-138.18627705710688,5.449623425051239,112.25523390878355,0.9038488970088024
10,10,-697.0577042809356,2.4452841680877904,-641.112730924004,4.315535072411812,-476.27812809209786,5.449623425051239,67.28942522843691,0.8555939583924465
11,11,-697.0577042809356,2.7502531155191754,-644.0877440717065,4.270420650751767,-290.40283114396584,5.449623425051239,78.11275540146983,0.8322385498913646
12,12,-739.1739023673172,2.761223143393078,-653.0467920594981,4.402272931124566,-130.14598929998104,5.449623425051239,95.90734725767466,0.8095942569096074
13,13,-739.1739023673172,2.5393875843294995,-653.1490333904698,4.121272960685087,-130.14598929998104,5.449623425051239,98.97148318208525,0.8707946921951492
14,14,-739.1739023673172,2.2383268177380393,-556.4601087193789,4.191500715570914,-130.14598929998104,5.449623425051239,202.7132460026267,0.8849404987339751
15,15,-703.1151588260938,1.792214239029493,-608.7166086739314,4.114801358977892,-130.14598929998104,5.449623425051239,146.72414493570253,0.9198167161310642
16,16,-703.1151588260938,3.1630759655085163,-584.1085554049691,4.333778122968785,-94.62725704322827,5.449623425051239,196.46577201573947,0.8025582025260363
